candidate_id,structured_record_id,source_family,source_url,component_support_type,deterministic_match_accepted,drought_hazard_support,wet_hazard_support,impact_support,explicit_linkage_support,administrative_only,reason
rawce_5582115b8e65510e,1219854,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2024_c20260421.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_5582115b8e65510e,1223459,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2024_c20260421.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_76f8414f254ca20f,usdm_06079_2022-10-25,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06079&startdate=2022-10-25&enddate=2022-10-25&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_76f8414f254ca20f,1151942,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_76f8414f254ca20f,1078958,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_76f8414f254ca20f,1078962,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_76f8414f254ca20f,1078994,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_a05b6c8386097203,usdm_06067_2022-10-25,usdm_drought_official_structured,https://usdmdataservices.unl.edu/api/CountyStatistics/GetDroughtSeverityStatisticsByAreaPercent?aoi=06067&startdate=2022-10-25&enddate=2022-10-25&statisticsType=1,drought_hazard,True,yes,no,no,no,no,Official county-level USDM structured row supports antecedent drought context.
rawce_a05b6c8386097203,1078716,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
rawce_a05b6c8386097203,1079144,noaa_ncei_storm_events_structured,https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/StormEvents_details-ftp_v1.0_d2023_c20260323.csv.gz,wet_event_and_impact,True,no,yes,yes,no,no,"Structured NOAA Storm Events row matches candidate county and wet-event window/close storm sequence; impact channels were extracted from damage, casualty, and narrative fields."
